date_ech,code_qual,lib_qual,coul_qual,date_dif,type_zone,code_zone,lib_zone,source,code_ambroisie,code_aulne,code_armoise,code_bouleau,code_graminees,code_olivier,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg
2025/08/02 00:00:00,"2",Moyen,#50CCAA,2025/08/02 00:00:00,EPCI,"243500733",CC Bretagne Romantique,Air Breizh,"1","1","1","1","2","1",-1.75242643161186,48.4099657647496,348520.5,348520.5,"2154"
2025/10/05 00:00:00,"1",Bon,#50F0E6,2025/10/05 00:00:00,EPCI,NR,,Air Breizh,"1","1","1","1","1","1",-5.09747652565791,48.4553725388535,102332.3,102332.3,"2154"
2025/08/19 00:00:00,"1",Bon,#50F0E6,2025/08/19 00:00:00,EPCI,"242900751",CC du Pays de Landivisiau,Air Breizh,"1","1","1","1","1","1",-4.06852976491848,48.5092533783109,178595.6,178595.6,"2154"
2025/07/23 00:00:00,"2",Moyen,#50CCAA,2025/07/23 00:00:00,EPCI,"245614383",CC Questembert Communauté,Air Breizh,"1","1","1","1","2","1",-2.45065208572431,47.6600264918958,291209.9,291209.9,"2154"
2025/07/29 00:00:00,"2",Moyen,#50CCAA,2025/07/29 00:00:00,EPCI,"243500667",CC Val d'Ille-Aubigné,Air Breizh,"1","1","2","1","2","1",-1.69757612798928,48.2159828061313,351290.4,351290.4,"2154"
2025/10/10 00:00:00,"1",Bon,#50F0E6,2025/10/10 00:00:00,EPCI,"200043990",CC Vallons de Haute-Bretagne Communauté,Air Breizh,"1","1","1","1","1","1",-1.79668804485947,47.9660020876481,342255.6,342255.6,"2154"
2025/07/18 00:00:00,"2",Moyen,#50CCAA,2025/07/18 00:00:00,EPCI,NR,,Air Breizh,"1","1","1","1","2","1",-5.09747652565791,48.4553725388535,102332.3,102332.3,"2154"
2025/09/01 00:00:00,"1",Bon,#50F0E6,2025/09/01 00:00:00,EPCI,"243500725",CC Côte d'Émeraude,Air Breizh,"1","1","1","1","1","1",-2.05485821960573,48.6315789992608,327758.9,327758.9,"2154"
2025/10/19 00:00:00,"1",Bon,#50F0E6,2025/10/19 00:00:00,EPCI,"200065928",CA Lannion-Trégor Communauté,Air Breizh,"1","1","1","1","1","1",-3.45933929752976,48.7321029481567,225451.4,225451.4,"2154"
2025/06/02 00:00:00,"3",Dégradé,#F0E641,2025/06/02 00:00:00,EPCI,"242900710",CC du Haut Pays Bigouden,Air Breizh,"1","1","1","1","3","1",-4.28575837918571,47.9032839207926,156411.6,156411.6,"2154"
2025/05/30 00:00:00,"3",Dégradé,#F0E641,2025/05/30 00:00:00,EPCI,"242900751",CC du Pays de Landivisiau,Air Breizh,"1","1","1","1","3","1",-4.06852976491848,48.5092533783109,178595.6,178595.6,"2154"
2025/09/13 00:00:00,"1",Bon,#50F0E6,2025/09/13 00:00:00,EPCI,"243500725",CC Côte d'Émeraude,Air Breizh,"1","1","1","1","1","1",-2.05485821960573,48.6315789992608,327758.9,327758.9,"2154"
2025/08/15 00:00:00,"2",Moyen,#50CCAA,2025/08/15 00:00:00,EPCI,"243500733",CC Bretagne Romantique,Air Breizh,"1","1","1","1","2","1",-1.75242643161186,48.4099657647496,348520.5,348520.5,"2154"
2025/05/06 00:00:00,"2",Moyen,#50CCAA,2025/05/06 00:00:00,EPCI,"243500550",CC Montfort Communauté,Air Breizh,"1","1","1","1","2","1",-1.95746781106503,48.139003703108,331486.1,331486.1,"2154"
